epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1384.55,0.93745,0.79909,1.28712,0.76176,0.83223,0.78634,0.47862,1.4333,0.94654,1.50005,0.001486,0.001486,0.001486
45,1413.08,0.90069,0.77971,1.26263,0.76729,0.77169,0.764,0.47719,1.31779,0.93063,1.44229,0.001288,0.001288,0.001288
46,1441.71,0.91261,0.77135,1.26105,0.72414,0.87215,0.77699,0.47069,1.38938,0.92126,1.51085,0.00109,0.00109,0.00109
47,1470.24,0.88784,0.74898,1.23965,0.74909,0.84521,0.79938,0.52038,1.22263,0.86769,1.38679,0.000892,0.000892,0.000892
48,1498.91,0.87454,0.72522,1.23748,0.72108,0.84994,0.78576,0.51571,1.24045,0.91845,1.41123,0.000694,0.000694,0.000694
49,1527.4,0.87955,0.70713,1.22832,0.77542,0.81984,0.80739,0.52495,1.25443,0.87598,1.43085,0.000496,0.000496,0.000496
50,1556.25,0.84293,0.69905,1.21924,0.78196,0.83562,0.81068,0.53475,1.2519,0.8532,1.39009,0.000298,0.000298,0.000298
1,31.1452,1.64767,2.89195,1.82842,0.34379,0.54795,0.33269,0.10662,1.73696,2.633,1.77252,0.000551326,0.000551326,0.000551326
2,59.2028,1.52698,2.10947,1.73869,0.16492,0.44367,0.12363,0.04612,1.93474,4.50479,2.11833,0.00107046,0.00107046,0.00107046
3,86.0927,1.53518,1.87777,1.71532,0.59392,0.40639,0.40307,0.20104,1.78487,2.20694,1.88046,0.00155292,0.00155292,0.00155292
4,113.034,1.48514,1.65451,1.6755,0.54016,0.61644,0.53523,0.25431,1.82798,1.78352,1.85857,0.00150197,0.00150197,0.00150197
5,140.102,1.42403,1.54144,1.60387,0.61371,0.6529,0.61566,0.33934,1.59755,1.81173,1.73362,0.00144696,0.00144696,0.00144696
